Product,Value
Other made-up textile articles; sets; worn clothing and worn textile articles; rags,5515529
"Articles of apparel and clothing accessories, knitted or crocheted",4498019
Cotton,3413592
"Articles of apparel and clothing accessories, not knitted or crocheted",3395080
Cereals,2266035
Copper and articles thereof,818289
"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",697567
Edible fruit and nuts; peel of citrus fruit or melons,492855
"Salt; sulphur; earths and stone; plastering materials, lime and cement",484722
"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",437032
Man-made staple fibres,423589
"Beverages, spirits and vinegar",403565
"Fish and crustaceans, molluscs and other aquatic invertebrates",399389
Plastics and articles thereof,389171
Meat and edible meat offal,340935
Edible vegetables and certain roots and tubers,313685
"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",295764
Pharmaceutical products,269430
"Ships, boats and floating structures",252557
"Toys, games and sports requisites; parts and accessories thereof",238234
"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",201948
"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",200647
Raw hides and skins (other than furskins) and leather,187448
Sugars and sugar confectionery,153574
"Ores, slag and ash",152250
"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof",142584
"Footwear, gaiters and the like; parts of such articles",141026
"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",137317
Aluminium and articles thereof,137056
"Coffee, tea, maté and spices",127058
Iron and steel,103755
Residues and waste from the food industries; prepared animal fodder,102558
Articles of iron or steel,87982
Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,87359
"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",86101
Miscellaneous edible preparations,84318
"Preparations of cereals, flour, starch or milk; pastrycooks' products",81078
Carpets and other textile floor coverings,79569
"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",67009
Man-made filaments; strip and the like of man-made textile materials,65145
"Paper and paperboard; articles of paper pulp, of paper or of paperboard",64290
"Preparations of vegetables, fruit, nuts or other parts of plants",63022
"Products of animal origin, not elsewhere specified or included",62534
Knitted or crocheted fabrics,62178
Rubber and articles thereof,57333
Tobacco and manufactured tobacco substitutes,56102
Miscellaneous chemical products,53485
"Aircraft, spacecraft, and parts thereof",52907
"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",46395
"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",43980
"Lac; gums, resins and other vegetable saps and extracts",43164
"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",43042
Products of the milling industry; malt; starches; inulin; wheat gluten,37637
"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",36523
Glass and glassware,34211
"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",33478
Wood and articles of wood; wood charcoal,30452
"Articles of stone, plaster, cement, asbestos, mica or similar materials",28831
Organic chemicals,26433
"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",26327
Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,24248
Lead and articles thereof,22798
"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",20536
Miscellaneous manufactured articles,16078
Albuminoidal substances; modified starches; glues; enzymes,13995
Ceramic products,12820
Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,11761
"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",11339
Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,9470
Live animals,8945
Vegetable plaiting materials; vegetable products not elsewhere specified or included,7503
"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",7118
"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",4869
Headgear and parts thereof,4622
Zinc and articles thereof,4113
Musical instruments; parts and accessories of such articles,3937
Arms and ammunition; parts and accessories thereof,3836
Miscellaneous articles of base metal,3549
"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",3423
"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",2712
Commodities not elsewhere specified,2387
Cocoa and cocoa preparations,2138
Clocks and watches and parts thereof,1756
"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",1192
"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",398
Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,344
Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,233
Silk,199
"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",191
Photographic or cinematographic goods,185
Other base metals; cermets; articles thereof,65
Furskins and artificial fur; manufactures thereof,47
Tin and articles thereof,43
Fertilisers,7
Nickel and articles thereof,2
"Works of art, collectors' pieces and antiques",0
Cork and articles of cork,0
