Country,Value
United States of America,6094814
China,3042838
United Kingdom,2110649
Germany,1568420
Netherlands,1401175
United Arab Emirates,1170170
Spain,1025085
Italy,893795
Afghanistan,835873
Bangladesh,815613
Belgium,715779
France,454735
Qatar,406216
Saudi Arabia,403997
Malaysia,383975
Canada,363726
Sri Lanka,349510
Poland,331272
Australia,301158
Türkiye,294443
Thailand,252054
Kenya,250264
Portugal,244418
Denmark,234687
South Africa,223079
Japan,202910
Viet Nam,194755
Kazakhstan,193666
"Korea, Republic of",191679
Oman,176511
Russian Federation,175721
Indonesia,170726
Sweden,166429
Philippines,142765
Kuwait,122463
Mozambique,117204
Chile,115361
"Tanzania, United Republic of",111517
Egypt,105939
Mexico,99830
Brazil,99504
Greece,90212
Slovenia,88800
Madagascar,88673
Ireland,86860
Yemen,82939
Singapore,75081
"Hong Kong, China",72062
Somalia,70095
Asia not elsewhere specified,66094
Bahrain,62079
Ukraine,61882
Norway,60686
Djibouti,55537
Czech Republic,55342
Ghana,54609
New Zealand,54004
Colombia,52420
Romania,50967
Uzbekistan,48937
Argentina,44790
Iraq,44420
Côte d'Ivoire,41383
Bulgaria,40191
Nigeria,39646
Jordan,34540
Lithuania,33086
Finland,32454
Peru,31976
Morocco,29076
Cambodia,26590
Hungary,24835
Sudan,24714
Tunisia,24583
Guinea,24071
Slovakia,23644
Angola,23433
Senegal,23226
Benin,21900
Papua New Guinea,21119
Mauritius,19476
"Congo, Democratic Republic of the",18535
Algeria,17927
Panama,16780
Croatia,16424
Latvia,16399
Switzerland,15759
Honduras,15233
Austria,14788
Myanmar,12730
Zimbabwe,12483
Estonia,12248
"Libya, State of",11711
Cameroon,11620
Lebanon,11580
Guatemala,10641
Dominican Republic,9842
Togo,8787
Paraguay,8226
Mauritania,8048
Ecuador,7502
Gambia,7419
Guinea-Bissau,7319
Malawi,7051
Georgia,6754
Comoros,6603
Syrian Arab Republic,6321
Uruguay,6223
Maldives,6133
Cyprus,6129
Botswana,5890
Azerbaijan,5775
Haiti,5646
Albania,5241
El Salvador,4884
Montenegro,4743
Trinidad and Tobago,4701
Nepal,4658
Costa Rica,4303
Malta,3943
Nicaragua,3745
Liberia,3632
Turkmenistan,3002
"Venezuela, Bolivarian Republic of",2929
Kyrgyzstan,2822
Sierra Leone,2703
Uganda,2539
Tajikistan,2491
Fiji,2336
Timor-Leste,2179
Congo,2039
Belarus,1854
Guyana,1649
Jamaica,1589
Seychelles,1513
Serbia,1511
Brunei Darussalam,1143
Zambia,1014
Ethiopia,742
Suriname,631
Barbados,622
Luxembourg,614
Gabon,598
Mongolia,544
Rwanda,506
Lao People's Democratic Republic,501
Eswatini,486
Iceland,378
"Bolivia, Plurinational State of",377
Mali,358
New Caledonia,318
Burkina Faso,304
Bahamas,280
Burundi,274
Equatorial Guinea,258
India,241
Samoa,240
French Polynesia,228
"Moldova, Republic of",220
Lesotho,217
"Macedonia, North",182
Cabo Verde,168
Saint Vincent and the Grenadines,155
Antigua and Barbuda,150
Namibia,148
Vanuatu,128
Tonga,115
Guam,112
Armenia,112
Grenada,110
Bermuda,107
Saint Lucia,106
Sao Tome and Principe,105
Cayman Islands,80
Bosnia and Herzegovina,64
Dominica,51
Niger,47
Saint Kitts and Nevis,47
Belize,46
Cuba,34
Solomon Islands,30
Greenland,26
Cook Islands,24
American Samoa,15
Central African Republic,13
Kiribati,11
Chad,7
"Macao, China",7
Aruba,6
Palau,4
Turks and Caicos Islands,4
Nauru,3
British Virgin Islands,2
Andorra,2
Bhutan,2
"Micronesia, Federated States of",2
Marshall Islands,1
United States Minor Outlying Islands,1
